SMILES,PUBCHEM_COMPOUND_ID_TYPE,PUBCHEM_TOTAL_CHARGE,PUBCHEM_SUBSTANCE_ID,PUBCHEM_SUBSTANCE_VERSION,PUBCHEM_EXT_DATASOURCE_NAME,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_SUBSTANCE_COMMENT,PUBCHEM_SUBSTANCE_SYNONYM,PUBCHEM_XREF_EXT_ID,PUBCHEM_EXT_DATASOURCE_URL,PUBCHEM_CID_ASSOCIATIONS,FractionCSP3,MolWt,RingCount,TotalRing,NumBridges,nBondRings,nAtomRings,ringFusionDensity,ringFusionDegree,ringComplexityIndex,molecularCyclizedDegree,NumRingSystems,NumChiralCenters
Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,0,0,223704374,1,MLSMR,MLS006011417,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Vitas-M Laboratory
SUPPLIER_STRUCTURE_ID: STK366766
CLASS: DC NP","MLS006011417
SMR000279619
Thymidine",MLS006011417,http://mlsmr.evotec.com/MLSMR_HomePage/,1134  1,0.6,242.23099999999997,2,11,0,11,11,0.0,1.0,1.0,0.6470588235294118,2,3
COc1ccc2ccc(=O)oc2c1CC=C(C)C,0,0,223704371,1,MLSMR,MLS006011425,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Vitas-M Laboratory
SUPPLIER_STRUCTURE_ID: STK396321
CLASS: DC NP","MLS006011425
Osthol
SMR000156202",MLS006011425,http://mlsmr.evotec.com/MLSMR_HomePage/,10228  1,0.26666666666666666,244.28999999999996,2,12,1,11,10,0.2,2.0,1.2,0.5555555555555556,1,0
C[NH+]1C(CC(=O)c2ccccc2)CCCC1CC(O)c1ccccc1,0,0,223704370,1,MLSMR,MLS006011485,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Enamine
SUPPLIER_STRUCTURE_ID: Z56933708
CLASS: DC NP","Inflatine
MLS006011485
SMR000151480
lobeline",MLS006011485,http://mlsmr.evotec.com/MLSMR_HomePage/,3945  1,0.4090909090909091,338.471,3,18,0,18,18,0.0,1.0,1.0,0.72,3,4
O=C(/C=C/c1ccc(O)cc1)c1ccc([O-])cc1O,0,0,223704367,1,MLSMR,MLS006010045,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: AK Scientific
SUPPLIER_STRUCTURE_ID: O271
CLASS: DC SS NP","Isoliquiritigenin
MLS006010045
SMR000112969",MLS006010045,http://mlsmr.evotec.com/MLSMR_HomePage/,638278  1,0.0,255.249,2,12,0,12,12,0.0,1.0,1.0,0.631578947368421,2,0
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0,0,223704366,1,MLSMR,MLS006010737,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Sigma Chemical Company
SUPPLIER_STRUCTURE_ID: K0133
CLASS: DC NP","3,4',5,7-Tetrahydroxyflavone
Kaempferol
MLS006010737
SMR000112585",MLS006010737,http://mlsmr.evotec.com/MLSMR_HomePage/,5280863  1,0.0,286.239,3,18,1,17,16,0.125,1.5,1.125,0.7619047619047619,2,0
CCCOC(=O)c1ccc(O)cc1,0,0,223704365,1,MLSMR,MLS006011654,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Chem Div
SUPPLIER_STRUCTURE_ID: 0099-0143
CLASS: DC NP","4-Hydroxybenzoic acid propyl ester
MLS006011654
Propyl 4-hydroxybenzoate
SMR000112070",MLS006011654,http://mlsmr.evotec.com/MLSMR_HomePage/,7175  1,0.3,180.20299999999995,1,6,0,6,6,0.0,1.0,1.0,0.46153846153846156,1,0
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,0,0,223704364,1,MLSMR,MLS006010008,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Acros Organics - USA
SUPPLIER_STRUCTURE_ID: 34707
CLASS: DC NP","MLS006010008
Retinol
SMR000112036
Vitamin A",MLS006010008,http://mlsmr.evotec.com/MLSMR_HomePage/,445354  1,0.5,286.459,1,6,0,6,6,0.0,1.0,1.0,0.2857142857142857,1,0
Cc1c(O)c(=O)ccn1C,0,0,223704356,1,MLSMR,MLS006011689,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Maybridge
SUPPLIER_STRUCTURE_ID: RJC02800
CLASS: DC SS NP","3-HYDROXY-1,2-DIMETHYL-4(1H)-PYRIDONE
Deferiprone (INN)
MLS006011689
SMR000059136
deferiprone",MLS006011689,http://mlsmr.evotec.com/MLSMR_HomePage/,2972  1,0.2857142857142857,139.15399999999997,1,6,0,6,6,0.0,1.0,1.0,0.6,1,0
CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,0,0,223704352,1,MLSMR,MLS006011644,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: ChemBridge
SUPPLIER_STRUCTURE_ID: 6663564
CLASS: DC SS NP","MLS006011644
SMR000059060
ipriflavone",MLS006011644,http://mlsmr.evotec.com/MLSMR_HomePage/,3747  1,0.16666666666666666,280.32300000000004,3,18,1,17,16,0.125,1.5,1.125,0.7619047619047619,2,0
CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,0,0,223704351,1,MLSMR,MLS006011710,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Princeton BioMolecular Research,Inc.
SUPPLIER_STRUCTURE_ID: OSSL_296897
CLASS: DC SS NP","MLS006011710
NORDIHYDROGUAIARETIC ACID
SMR000059049",MLS006011710,http://mlsmr.evotec.com/MLSMR_HomePage/,4534  1,0.3333333333333333,302.37000000000006,2,12,0,12,12,0.0,1.0,1.0,0.5454545454545454,2,2
C/C=C/C/C=C/CCC(=O)C1OC1C(N)=O,0,0,223704339,1,MLSMR,MLS006010821,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Cayman Chemical
SUPPLIER_STRUCTURE_ID: 10005647
CLASS: DC SS NP","Cerulenin
MLS006010821
SMR000058786",MLS006010821,http://mlsmr.evotec.com/MLSMR_HomePage/,5282054  1,0.5,223.27199999999996,1,3,0,3,3,0.0,1.0,1.0,0.1875,1,2
O=c1c(O)c(-c2ccc(O)cc2[O-])oc2cc(O)cc(O)c12,0,0,223704317,1,MLSMR,MLS006012034,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Chem Div
SUPPLIER_STRUCTURE_ID: R092-0051
CLASS: DC SS NP","MLS006012034
MORIN
SMR000058259",MLS006012034,http://mlsmr.evotec.com/MLSMR_HomePage/,5281670  1,0.0,301.22999999999996,3,18,1,17,16,0.125,1.5,1.125,0.7272727272727273,2,0
OC1COC(O)C(O)C1O,0,0,209273333,1,MLSMR,MLS003106569,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: NCI Chemotherapeutic Agents Repository
SUPPLIER_STRUCTURE_ID: 164936
CLASS: SS NP","DL-Arabinose
MLS003106569
SMR000857162",MLS003106569,http://mlsmr.evotec.com/MLSMR_HomePage/,229  1,1.0,150.12999999999997,1,6,0,6,6,0.0,1.0,1.0,0.6,1,4
O=C(NCCSSCCNC(=O)/C(Cc1ccc(O)c(Br)c1)=N\O)/C(Cc1ccc(O)c(Br)c1)=N\O,0,0,184696774,1,MLSMR,MLS005951917,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Harbor Branch Oceanographic Institute at Florida Atlantic University
SUPPLIER_STRUCTURE_ID: HB-391
CLASS: NP","MLS005951917
SMR004624572",MLS005951917,http://mlsmr.evotec.com/MLSMR_HomePage/,6399893  1,0.2727272727272727,664.3979999999998,2,12,0,12,12,0.0,1.0,1.0,0.3333333333333333,2,0
O=C1NC(Cc2c[nH]c3c(C45CC6C(=O)NC(Cc7ccccc7)C(=O)N6C4Nc4ccccc45)cccc23)C(=O)NC1Cc1ccccc1,0,0,180885467,1,MLSMR,MLS005941360,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Leslie Gunatilaka - Univ. of Arizona - MLI PSL
SUPPLIER_STRUCTURE_ID: YX-160-107-2
CLASS: NP","Asperazine
MLS005941360
SMR004614074",MLS005941360,http://mlsmr.evotec.com/MLSMR_HomePage/,72795133  1,0.25,664.7660000000002,9,51,4,47,43,0.18604651162790697,1.8,1.186046511627907,0.86,5,6
Cc1cc(O)c(C(=O)c2c(O)cccc2C(=O)[O-])c(O)c1,0,0,180885463,1,MLSMR,MLS005941352,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Leslie Gunatilaka - Univ. of Arizona - MLI PSL
SUPPLIER_STRUCTURE_ID: KW-191-42-4
CLASS: NP","2-(2,6-dihydroxy-4-methylbenzoyl)-3-hydroxybenzoic acid
MLS005941352
SMR004614067",MLS005941352,http://mlsmr.evotec.com/MLSMR_HomePage/,74015882  1,0.06666666666666667,287.247,2,12,0,12,12,0.0,1.0,1.0,0.5714285714285714,2,0
CC(=O)OC(C)CC(=O)OCC12CCC3C4(C)CCCC(C)(C)C4CCC3(C)C1CC(C1=CC(=O)OC1OC(C)=O)O2,0,0,180885456,1,MLSMR,MLS001250287,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Lyndon M West - Univ. of Georgia - MLI PSL
SUPPLIER_STRUCTURE_ID: WESTUGA00028
CLASS: NP","MLS001250287
SMR001216072",MLS001250287,http://mlsmr.evotec.com/MLSMR_HomePage/,74015877  1,0.8181818181818182,588.7380000000003,5,28,3,25,22,0.2727272727272727,2.5,1.2727272727272727,0.5238095238095238,2,9
CC(=O)OC(C)CC(=O)OCC12CCC3C4(C)CCCC(C)(C)C4CCC3(C)C1CC(C1=CC(=O)OC1OC(C)=O)O2,0,0,180885442,1,MLSMR,MLS001250277,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Lyndon M West - Univ. of Georgia - MLI PSL
SUPPLIER_STRUCTURE_ID: WESTUGA00027
CLASS: NP","MLS001250277
SMR001216071",MLS001250277,http://mlsmr.evotec.com/MLSMR_HomePage/,74015868  1,0.8181818181818182,588.7380000000003,5,28,3,25,22,0.2727272727272727,2.5,1.2727272727272727,0.5238095238095238,2,9
C=C1CCC2C(C)(/C=C/C=C(C)C)CCCC2(C)C1CC(=O)[O-],0,0,180885441,1,MLSMR,MLS001250238,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Lyndon M West - Univ. of Georgia - MLI PSL
SUPPLIER_STRUCTURE_ID: WESTUGA00033
CLASS: NP","MLS001250238
SMR001216075",MLS001250238,http://mlsmr.evotec.com/MLSMR_HomePage/,74015867  1,0.6666666666666666,315.477,2,12,1,11,10,0.2,2.0,1.2,0.43478260869565216,1,4
Nc1[nH]cc(/C=C/CNC(=O)c2cc(Br)c(Br)[nH]2)[nH+]1,0,0,180885440,1,MLSMR,MLS001250229,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Lyndon M West - Univ. of Georgia - MLI PSL
SUPPLIER_STRUCTURE_ID: WESTUGA00042
CLASS: NP","MLS001250229
SMR001216083",MLS001250229,http://mlsmr.evotec.com/MLSMR_HomePage/,6312649  1,0.09090909090909091,390.05900000000025,2,10,0,10,10,0.0,1.0,1.0,0.5263157894736842,2,0
Cn1cncc1/C=C\CNC(=O)c1cc(Br)c(Br)[nH]1,0,0,180885439,1,MLSMR,MLS001250258,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Lyndon M West - Univ. of Georgia - MLI PSL
SUPPLIER_STRUCTURE_ID: WESTUGA00035
CLASS: NP","MLS001250258
SMR001216077",MLS001250258,http://mlsmr.evotec.com/MLSMR_HomePage/,74015866  1,0.16666666666666666,388.0630000000002,2,10,0,10,10,0.0,1.0,1.0,0.5263157894736842,2,0
CC(=O)OCC12CC(O)C(O)CC1(O)C(O)C=C1C3CCC(C(C)CCCC(C)C)C3(C)CC(OC(C)=O)C12O,0,0,180885438,1,MLSMR,MLS001250295,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Lyndon M West - Univ. of Georgia - MLI PSL
SUPPLIER_STRUCTURE_ID: WESTUGA00009
CLASS: NP","MLS001250295
SMR001216054",MLS001250295,http://mlsmr.evotec.com/MLSMR_HomePage/,21609787  1,0.8709677419354839,566.7320000000004,4,23,3,20,17,0.35294117647058826,4.0,1.3529411764705883,0.425,1,11
CC(=O)OC(C)CC(=O)OCC12CCC3C4(C)CCCC(C)(C)C4CCC3(C)C1CC(C1=CC(=O)OC1OC(C)=O)O2,0,0,180885437,1,MLSMR,MLS001250267,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Lyndon M West - Univ. of Georgia - MLI PSL
SUPPLIER_STRUCTURE_ID: WESTUGA00026
CLASS: NP","MLS001250267
SMR001216070",MLS001250267,http://mlsmr.evotec.com/MLSMR_HomePage/,74015865  1,0.8181818181818182,588.7380000000003,5,28,3,25,22,0.2727272727272727,2.5,1.2727272727272727,0.5238095238095238,2,9
C=C(C)C1CCC2=CC(OC2=O)C(C(=C)C)C(=O)C=C(C)C(=O)C1,0,0,180885436,1,MLSMR,MLS001250219,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Lyndon M West - Univ. of Georgia - MLI PSL
SUPPLIER_STRUCTURE_ID: WESTUGA00041
CLASS: NP","MLS001250219
SMR001216082",MLS001250219,http://mlsmr.evotec.com/MLSMR_HomePage/,74015864  1,0.45,328.4080000000001,2,17,2,15,14,0.2857142857142857,2.0,1.2142857142857142,0.5833333333333334,1,3
C=C(C)C1CCC2=CC(OC2=O)C(C(=C)C)c2cc(C)c(o2)C1O,0,0,180885435,1,MLSMR,MLS001250298,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Lyndon M West - Univ. of Georgia - MLI PSL
SUPPLIER_STRUCTURE_ID: WESTUGA00039
CLASS: NP","MLS001250298
SMR001216081",MLS001250298,http://mlsmr.evotec.com/MLSMR_HomePage/,74015863  1,0.45,328.40800000000013,3,21,4,17,15,0.5333333333333333,3.0,1.4,0.625,1,4
CC1=CC(=O)CC(C)C1(C)CC/C(C)=C/CC/C(C)=C/CCC1=CC(=O)OC1,0,0,180885434,1,MLSMR,MLS001250247,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Lyndon M West - Univ. of Georgia - MLI PSL
SUPPLIER_STRUCTURE_ID: WESTUGA00024
CLASS: NP","MLS001250247
SMR001216068",MLS001250247,http://mlsmr.evotec.com/MLSMR_HomePage/,6444308  1,0.6,384.56000000000023,2,11,0,11,11,0.0,1.0,1.0,0.39285714285714285,2,2
C=C1C(OC(C)=O)C=CC2C3C(=O)C(C)(OC(C)=O)C(C(OC(C)=O)C4(O)C(C)C(=O)OC4C1Cl)C23C,0,0,180885433,1,MLSMR,MLS001250278,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Lyndon M West - Univ. of Georgia - MLI PSL
SUPPLIER_STRUCTURE_ID: WESTUGA00037
CLASS: NP","MLS001250278
SMR001216079",MLS001250278,http://mlsmr.evotec.com/MLSMR_HomePage/,74015862  1,0.6538461538461539,538.9770000000003,4,24,4,20,17,0.47058823529411764,4.0,1.411764705882353,0.4594594594594595,1,11
NC(=O)c1cc(Br)c(Br)[n-]1,0,0,180885432,1,MLSMR,MLS001250248,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Lyndon M West - Univ. of Georgia - MLI PSL
SUPPLIER_STRUCTURE_ID: WESTUGA00034
CLASS: NP","MLS001250248
SMR001216076",MLS001250248,http://mlsmr.evotec.com/MLSMR_HomePage/,14056555  1,0.0,266.9,1,5,0,5,5,0.0,1.0,1.0,0.5,1,0
[C-]#[N+]C1C2c3c[nH]c4cccc(c34)C(C)(C)C2CC(Cl)C1(C)C=C,0,0,164348198,1,MLSMR,MLS005148206,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: University of Hawaii at Manoa
SUPPLIER_STRUCTURE_ID: PW-22
CLASS: NP","Hapalindole A
MLS005148206
SMR003519685",MLS005148206,http://mlsmr.evotec.com/MLSMR_HomePage/,185159  1,0.47619047619047616,338.88200000000006,4,23,4,19,16,0.5,4.0,1.4375,0.6666666666666666,1,5
Cn1c2cnccc2c2ccc(Cl)c(Cl)c21,0,0,164348192,1,MLSMR,MLS005148198,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: University of Hawaii at Manoa
SUPPLIER_STRUCTURE_ID: PW-42
CLASS: NP","Bauerine B
MLS005148198
SMR003965433",MLS005148198,http://mlsmr.evotec.com/MLSMR_HomePage/,189884  1,0.08333333333333333,251.116,3,17,2,15,13,0.3076923076923077,3.0,1.3076923076923077,0.8125,1,0
COC1=C(N)C(=O)c2nc(-c3nc(C(=O)[O-])c(C)c(-c4ccc(OC)c(OC)c4O)c3N)ccc2C1=O,0,0,164347720,1,MLSMR,MLS004556149,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Scripps Research Institute Molecular Screening Center-Florida
SUPPLIER_STRUCTURE_ID: SR-01000721857-5
CLASS: NP
MLSMR_PROBE_PROJECT
MLSMR_ANALOG5
MLSMR_PROBE_PROJECT_R01GM079357","MLS004556149
SMR003365494
Streptonigrin",MLS004556149,http://mlsmr.evotec.com/MLSMR_HomePage/,5323583  1,0.16,505.46300000000036,4,24,1,23,22,0.09090909090909091,1.3333333333333333,1.0909090909090908,0.5945945945945946,3,0
O=C1C=C(Nc2ccccc2)C(=O)c2ccccc21,0,0,164347712,1,MLSMR,MLS004556032,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: University of Kansas Specialized Chemistry Center
SUPPLIER_STRUCTURE_ID: KUC111337N-02
CLASS: NP
MLSMR_PROBE_PROJECT
MLSMR_ANALOGUE","MLS004556032
SMR000387072",MLS004556032,http://mlsmr.evotec.com/MLSMR_HomePage/,81124  1,0.0,249.26900000000003,3,18,1,17,16,0.125,1.5,1.125,0.8421052631578947,2,0
COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,0,0,164175278,1,MLSMR,MLS004774133,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: Selleck Chemicals
SUPPLIER_STRUCTURE_ID:
CLASS: NP","MLS004774133
SMR002544686",MLS004774133,http://mlsmr.evotec.com/MLSMR_HomePage/,5281078  1,0.5652173913043478,433.5010000000004,3,17,1,16,15,0.13333333333333333,1.5,1.1333333333333333,0.4838709677419355,2,0
CCCCC(CC)COC(=O)/C=C/c1ccc(OC)cc1,0,0,164175256,1,MLSMR,MLS004773966,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: TCI America
SUPPLIER_STRUCTURE_ID:
CLASS: NP","MLS004773966
OCTYL METHOXYCINNAMATE 7.5%, OCTINOXATE, Octyl Methoxycinnamate, Octyl Methoxycinnamate (2-ethylhexyl trans-4-methoxycinnamate)
SMR001550370",MLS004773966,http://mlsmr.evotec.com/MLSMR_HomePage/,5355130  1,0.5,290.403,1,6,0,6,6,0.0,1.0,1.0,0.2857142857142857,1,1
CCCCCCCCCCCC(=O)OCC(O)CO,0,0,164175254,1,MLSMR,MLS004773952,"http://mlsmr.evotec.com/MLSMR_HomePage/pdf/pubchem_reference.pdf
SAMPLE_SUPPLIER: TCI America
SUPPLIER_STRUCTURE_ID:
CLASS: NP","1-Lauroyl-rac-glycerol
MLS004773952
SMR001254002",MLS004773952,http://mlsmr.evotec.com/MLSMR_HomePage/,14871  1,0.9333333333333333,274.40099999999995,0,,,,,,,,,,1
